cpu_usage,memory_usage,response_time,error_count,disk_usage,network_latency,failure
45,95,98,7,81,153,1
28,20,353,5,56,31,1
99,83,164,1,60,236,0
76,68,392,8,67,115,0
28,71,300,8,41,83,0
29,90,56,2,80,283,0
80,45,268,8,67,131,1
61,65,126,1,83,285,0
42,99,228,2,56,186,0
49,30,194,5,60,123,0
48,22,465,3,24,270,1
91,18,203,7,71,182,0
10,20,170,0,36,205,0
20,84,173,5,81,74,0
66,79,199,1,71,162,1
98,10,446,5,39,102,1
59,79,430,0,35,209,0
32,86,317,1,26,90,0
40,95,376,8,85,284,0
51,65,50,5,31,89,0
16,40,210,7,62,219,1
25,95,293,6,59,137,0
99,46,424,8,20,251,0
69,56,447,8,77,145,0
11,87,300,3,22,80,0
10,56,416,6,27,102,0
57,78,113,4,80,59,0
21,67,348,6,24,263,0
78,45,297,3,45,26,0
46,41,491,9,36,39,0
41,73,346,0,85,32,1
18,80,164,3,70,174,0
28,51,344,9,66,144,0
57,57,50,2,59,133,0
89,83,90,8,46,104,0
12,90,222,4,59,251,0
29,39,137,3,20,27,0
33,30,147,7,65,288,0
63,69,137,4,30,117,0
42,22,300,2,58,201,1
33,10,384,1,37,168,0
84,74,190,7,66,60,0
81,42,120,1,40,14,0
45,47,186,7,47,137,0
47,34,496,4,20,156,1
93,35,148,7,33,195,0
98,86,200,4,39,288,0
34,68,487,0,64,281,0
27,42,224,1,80,247,0
91,50,216,5,46,280,0
75,39,392,2,75,194,0
63,66,459,7,71,119,0
44,58,306,4,87,238,1
89,57,447,2,56,85,0
70,81,273,9,50,197,0
50,58,417,6,68,262,0
42,56,379,7,72,235,0
77,65,114,3,58,18,0
42,74,118,8,29,18,0
23,21,116,5,28,48,0
30,78,482,0,32,214,0
57,97,99,4,37,44,0
29,15,363,4,31,38,0
17,98,358,6,24,239,0
16,74,140,6,26,238,1
76,34,164,5,34,278,1
26,10,423,7,86,294,0
42,41,106,1,37,233,0
57,12,391,6,57,132,1
85,58,67,9,45,213,1
68,28,321,6,57,84,0
95,69,179,3,78,299,0
31,38,318,9,71,180,0
39,59,478,1,52,237,0
47,11,129,3,40,269,0
60,82,348,3,36,289,0
63,65,359,5,81,122,0
17,26,251,6,78,170,0
36,69,274,2,21,146,0
36,45,208,9,83,251,0
30,70,253,0,44,181,1
39,26,186,2,60,268,0
37,58,122,8,38,172,0
73,85,97,0,57,29,0
78,69,67,7,44,195,0
70,29,316,1,58,19,1
57,59,495,5,23,20,0
28,12,389,2,22,131,0
13,52,68,6,53,271,0
44,66,149,1,29,32,0
73,59,165,3,46,267,0
58,77,395,9,20,298,0
26,90,123,8,63,156,0
53,59,329,5,71,72,0
39,46,318,3,44,41,1
55,55,174,1,84,39,0
15,51,165,9,30,138,0
46,24,223,8,87,165,0
33,42,230,3,34,228,0
55,89,275,8,76,114,1
62,20,206,1,83,106,0
69,29,213,6,30,186,0
72,33,120,4,39,151,0
94,73,271,7,49,220,0
41,89,175,7,29,143,0
96,74,194,3,73,192,0
42,97,225,3,77,92,1
76,97,201,7,48,251,0
27,82,231,2,20,190,1
34,95,424,6,77,92,0
63,85,396,7,40,156,1
67,26,134,7,34,271,1
76,98,413,9,86,204,1
55,70,432,3,52,250,0
33,24,170,8,57,220,0
41,60,178,9,38,78,0
56,36,55,3,23,164,0
95,95,383,7,77,259,1
32,83,232,5,89,21,0
75,70,87,4,31,142,1
36,67,466,3,36,10,0
11,40,165,4,20,223,0
99,21,151,0,33,5,0
26,55,57,6,21,68,0
42,40,267,7,23,213,0
18,41,256,8,85,5,0
52,41,127,2,65,193,0
57,62,417,8,69,251,0
48,70,453,9,79,261,0
51,55,104,4,71,178,1
35,94,353,9,67,113,0
59,83,489,5,58,64,0
34,89,277,0,89,47,1
33,16,137,8,79,42,0
22,13,59,8,49,262,0
69,61,357,5,46,86,1
16,98,483,7,74,225,0
66,40,339,3,89,115,0
45,84,213,4,45,269,0
54,93,288,4,61,140,0
29,45,366,6,86,27,0
74,63,193,6,86,63,0
17,63,384,6,71,270,0
25,26,67,4,25,144,0
23,84,120,3,29,120,0
85,39,224,7,57,208,0
96,31,391,0,31,162,0
24,52,337,0,65,200,0
75,36,348,5,68,216,0
41,46,388,1,82,45,0
96,55,473,2,88,11,0
72,44,297,3,62,109,0
95,13,242,1,79,49,1
60,89,468,9,48,42,0
34,89,374,6,30,168,0
67,94,355,9,54,85,0
72,35,317,0,42,62,0
71,28,253,2,40,127,0
31,90,390,1,56,199,0
67,54,172,8,47,197,0
67,35,107,7,77,108,0
95,31,388,2,72,116,0
58,67,496,4,47,136,1
61,72,250,2,61,100,0
51,37,482,5,80,87,1
79,74,161,4,52,174,0
24,53,177,1,74,53,0
63,52,85,9,56,139,0
69,46,283,7,66,269,0
17,75,359,5,55,203,0
62,26,96,2,47,287,0
69,49,164,0,29,39,0
14,47,465,4,42,208,0
77,94,304,1,24,245,0
15,70,272,1,25,47,0
56,18,173,8,61,268,0
64,86,486,9,66,82,0
49,84,209,6,47,40,0
61,70,495,5,32,178,0
25,89,470,0,44,139,0
22,25,145,9,26,144,0
39,11,156,1,85,59,0
28,81,169,6,77,256,1
26,52,150,2,85,283,0
72,51,152,1,55,184,1
28,86,215,5,21,17,0
67,66,463,7,57,208,0
64,90,235,7,33,67,0
99,97,81,1,46,78,0
99,76,115,5,34,159,0
71,39,228,4,31,11,1
32,22,316,6,62,157,0
18,28,492,3,76,48,0
21,16,453,1,67,40,0
10,18,86,9,80,101,0
67,92,250,2,63,169,0
10,63,407,8,71,238,0
43,95,98,9,81,107,0
57,91,324,7,21,11,0
98,70,488,8,50,98,0
10,96,217,4,52,125,0
25,11,312,4,24,41,0
70,59,182,6,77,25,0
73,84,347,6,30,102,0
72,40,393,0,42,25,0
78,42,225,4,64,236,0
31,87,440,7,46,76,0
76,89,60,6,75,56,0
85,20,250,1,78,226,0
35,42,482,7,59,289,0
25,16,463,1,37,171,0
60,40,346,9,70,287,1
95,57,52,0,80,209,1
66,56,263,2,42,142,0
38,87,345,2,55,40,0
87,62,356,5,57,99,0
78,89,81,2,75,20,0
56,28,97,6,58,241,0
71,90,376,7,88,168,0
78,99,301,2,47,94,0
85,15,248,8,40,112,1
25,58,453,0,81,88,1
99,82,138,2,42,259,0
99,59,158,2,40,169,0
57,90,340,6,35,204,0
94,21,157,4,81,161,1
48,32,457,3,84,35,0
42,63,89,1,24,70,0
32,78,101,6,65,93,0
19,68,161,2,83,263,0
78,45,344,6,60,257,0
43,12,117,9,63,238,1
61,67,238,6,34,111,0
19,97,381,1,87,73,0
28,64,258,6,70,282,0
67,66,114,5,73,205,0
10,26,111,9,87,57,1
78,48,307,3,61,245,0
13,99,183,4,65,179,1
25,77,171,7,44,46,0
33,64,380,4,86,264,1
89,54,220,2,54,214,0
11,85,259,1,41,46,0
41,10,345,5,28,174,0
93,30,138,5,43,263,0
33,92,216,6,42,208,0
21,30,77,7,80,167,0
59,61,287,3,56,109,0
44,91,385,7,64,182,1
42,52,112,0,34,195,0
42,61,497,5,76,128,1
70,76,304,5,33,202,0
60,53,445,2,71,103,0
52,41,90,8,55,10,0
21,19,78,4,46,292,0
76,73,328,0,36,271,0
74,88,129,6,60,47,1
42,78,100,9,23,299,0
49,77,161,2,22,145,0
83,37,410,9,38,273,0
52,62,350,9,60,43,0
53,60,139,3,59,166,0
38,62,278,5,77,199,0
22,13,199,7,58,108,0
21,88,292,3,26,249,0
55,26,187,8,55,69,0
11,76,184,7,39,205,1
44,83,138,9,48,246,0
96,56,64,9,87,11,0
90,65,382,5,85,223,0
99,32,411,6,66,7,0
17,27,223,7,42,288,0
35,10,139,1,25,26,0
83,44,262,4,37,98,0
99,73,392,6,72,75,0
43,67,110,7,41,226,1
16,68,413,4,87,17,0
77,10,269,2,54,9,0
67,12,110,5,28,26,0
84,76,356,4,50,299,0
38,46,215,7,62,41,0
45,92,61,8,36,35,0
98,38,265,8,70,66,0
30,98,126,5,85,225,0
45,42,281,3,43,85,0
19,70,161,3,34,237,0
82,99,115,8,47,10,0
33,13,231,3,22,109,0
73,23,472,7,48,166,0
58,42,253,8,71,56,0
45,31,472,4,73,162,0
91,57,420,5,77,17,0
33,12,255,2,64,190,0
32,96,335,4,69,226,0
71,94,154,4,41,245,0
46,32,291,1,71,152,1
21,77,284,9,72,59,0
64,30,225,5,50,63,0
22,52,260,8,67,202,0
32,94,80,6,50,102,1
98,35,284,7,23,160,0
39,50,291,1,54,254,0
26,47,202,8,86,184,0
71,97,245,2,83,78,0
93,20,484,9,28,65,1
98,38,318,4,65,49,0
95,69,496,6,75,139,0
22,76,433,3,75,214,0
68,74,219,6,45,90,0
28,70,487,7,79,274,0
58,28,406,9,67,296,0
21,55,372,9,77,268,0
70,58,385,3,82,272,1
28,31,281,4,77,229,0
85,87,233,2,22,220,1
18,66,408,4,26,235,0
80,23,324,7,71,194,0
37,53,479,2,81,146,0
87,25,448,4,21,181,1
61,86,81,9,52,55,0
92,21,226,0,31,194,0
25,64,454,1,67,9,0
78,60,114,2,72,215,1
21,48,247,0,60,199,0
34,42,76,8,77,5,0
61,42,200,8,87,108,0
94,38,352,4,42,105,0
62,78,317,3,55,132,0
32,79,134,4,40,253,0
25,40,115,3,74,295,0
66,89,182,4,75,273,0
48,40,442,6,32,42,0
62,98,453,7,41,254,1
51,55,415,1,26,225,0
67,86,131,3,43,67,0
48,61,430,7,80,257,0
23,19,368,6,24,269,0
14,97,377,8,69,168,0
44,83,147,4,81,27,0
96,50,122,5,74,83,0
84,86,376,7,45,122,0
27,12,79,4,29,189,0
85,68,174,8,30,63,0
18,61,259,3,59,256,0
83,43,321,7,30,93,0
67,58,262,2,23,233,0
26,37,182,4,21,242,0
16,92,206,7,58,296,0
55,96,96,9,42,299,0
22,22,406,6,64,48,1
49,78,412,0,61,84,0
51,76,431,3,61,178,0
18,70,71,1,48,145,0
59,69,490,1,35,41,0
36,80,132,6,86,18,0
75,33,468,2,79,126,0
14,72,283,2,23,242,0
38,95,109,5,35,59,0
46,70,237,5,60,26,0
47,32,107,0,25,207,0
92,39,308,0,61,19,0
17,69,211,5,76,34,0
74,27,350,6,47,33,0
95,65,355,8,42,256,0
26,62,51,3,61,164,0
80,16,320,9,31,121,0
98,78,470,5,83,162,0
54,81,192,2,77,112,0
13,88,237,3,70,119,0
45,61,401,8,48,276,0
79,13,390,0,38,180,1
40,43,497,4,64,235,1
28,78,273,6,73,288,1
70,42,416,2,85,254,0
63,78,229,1,32,60,0
48,47,72,1,84,277,0
83,35,404,0,31,194,0
99,10,86,4,33,25,0
28,13,156,2,61,169,0
48,48,346,6,67,289,0
76,63,278,0,43,72,0
54,99,362,8,84,271,0
22,42,146,1,36,222,0
67,42,330,7,57,100,0
29,81,159,9,47,192,0
81,29,86,3,52,212,0
70,25,89,5,43,78,0
48,30,134,8,89,166,1
10,54,351,6,23,165,0
12,99,237,7,52,64,0
86,96,289,6,29,30,0
71,91,407,1,55,29,1
72,71,403,8,50,262,0
34,40,68,0,23,7,0
65,51,396,1,27,292,0
42,21,442,2,46,261,0
47,74,374,2,55,284,1
15,82,310,9,28,252,0
67,12,459,3,62,48,0
53,99,452,4,43,37,0
54,18,207,5,56,298,0
41,60,353,0,60,116,0
54,25,161,7,45,295,0
70,97,193,5,23,277,0
56,87,305,9,20,47,1
30,12,67,8,39,48,0
89,33,233,4,64,293,0
94,82,454,6,88,91,0
84,22,336,3,71,234,0
45,11,434,5,83,87,0
28,80,180,5,40,208,0
29,30,330,3,44,134,0
66,28,294,5,86,142,0
27,98,57,7,45,87,0
56,56,242,4,46,179,0
58,31,367,1,71,140,0
23,84,440,8,82,111,0
24,42,56,3,64,155,0
40,41,185,3,77,113,0
10,73,68,6,57,226,0
63,94,450,9,54,251,0
12,48,188,9,65,41,0
25,93,416,5,22,272,0
96,81,226,3,25,78,0
66,51,60,5,32,119,0
84,18,90,2,65,85,0
21,34,495,6,52,197,0
83,98,163,5,81,218,0
25,11,229,2,82,19,0
81,28,243,0,75,88,0
85,29,245,9,58,270,0
33,79,397,4,79,158,0
37,26,274,9,43,257,1
17,98,380,1,69,277,0
45,77,372,6,52,136,0
99,93,473,6,26,203,0
17,12,310,3,65,87,0
67,96,165,5,81,130,0
69,60,199,0,20,218,0
59,91,167,1,84,219,0
37,35,214,5,64,242,0
50,65,301,1,74,92,0
73,73,316,3,85,117,0
36,17,93,3,86,109,1
72,90,230,9,73,67,0
26,46,126,8,82,243,0
82,36,423,9,73,30,0
42,54,165,6,71,132,0
93,13,494,6,73,5,0
86,95,116,0,86,98,0
38,99,62,4,56,16,0
22,97,141,2,31,170,0
55,46,295,2,78,276,0
44,80,316,5,39,71,0
15,42,188,3,51,171,0
91,40,390,7,63,258,0
78,64,293,3,85,257,0
56,21,390,7,74,250,0
34,20,440,3,35,63,1
75,97,322,2,87,298,0
19,81,353,4,71,148,0
65,41,447,4,56,213,0
39,66,240,9,65,230,0
14,47,497,9,60,288,0
42,69,146,0,24,95,0
74,95,380,7,85,115,0
27,28,254,7,24,244,0
58,93,498,7,82,84,0
20,65,467,9,22,208,0
94,23,186,3,27,242,0
35,42,126,8,45,298,1
72,19,433,9,72,188,1
98,89,86,2,48,216,0
95,73,335,6,33,255,0
68,73,474,5,24,231,0
36,71,478,8,46,171,0
58,77,352,3,87,35,0
86,52,184,3,48,155,0
42,89,191,5,22,166,0
10,68,303,7,49,100,0
30,61,97,2,28,277,0
64,28,304,7,20,28,0
15,30,183,7,42,122,0
90,31,339,6,86,91,0
78,18,257,6,51,279,0
14,18,150,4,25,54,1
12,82,95,1,68,116,0
62,36,492,1,34,284,0
32,26,119,9,77,140,0
62,53,185,7,72,7,0
46,54,329,5,49,166,0
83,17,116,7,59,81,1
83,89,53,2,78,189,0
92,27,273,0,82,62,0
26,42,50,5,67,167,0
94,10,339,1,87,25,0
87,85,158,8,26,69,1
82,15,314,4,66,70,0
10,50,112,4,62,286,1
60,64,315,9,35,179,0
54,14,187,7,41,169,0
86,68,483,5,82,86,0
13,89,93,2,65,150,0
71,27,423,8,64,208,0
74,58,481,9,60,168,0
41,91,311,3,44,108,0
43,74,265,9,69,134,0
81,92,170,3,86,88,0
48,63,201,1,71,124,0
35,70,262,2,50,263,0
43,17,283,3,56,108,0
63,12,400,6,41,38,1
12,34,160,2,46,178,0
59,78,491,7,21,236,0
21,64,410,7,41,189,0
74,49,369,9,72,22,0
63,92,271,1,36,235,0
14,91,489,3,75,139,0
66,59,275,7,50,49,0
26,42,259,0,62,116,0
56,27,445,0,72,87,0
32,66,468,3,24,43,0
88,25,120,1,21,258,0
94,89,409,0,78,149,1
23,47,138,7,23,55,0
75,50,311,1,53,297,1
84,16,498,3,86,71,1
60,87,415,2,25,28,0
47,62,237,1,77,126,0
73,72,161,7,66,53,1
47,98,462,2,24,153,0
59,41,471,8,80,189,0
91,47,288,9,75,254,0
39,31,305,4,54,149,0
88,25,199,8,32,247,0
60,61,176,2,45,153,0
72,38,441,4,83,72,0
61,25,368,9,30,228,0
47,85,446,5,81,214,0
97,26,460,8,66,196,0
88,73,451,7,89,128,0
39,98,323,1,77,288,1
60,22,382,1,29,296,0
90,81,495,4,35,54,0
14,65,447,4,31,187,0
38,14,188,4,69,251,1
13,21,152,3,34,92,0
19,50,291,7,78,142,0
65,12,166,4,89,42,0
26,42,263,0,81,53,0
83,95,66,9,81,76,0
26,59,228,4,69,262,0
93,65,273,0,73,48,0
97,18,319,3,73,295,0
78,91,362,0,47,120,0
43,59,398,5,70,153,0
15,38,183,5,52,283,0
62,48,163,0,20,292,0
75,54,490,7,88,222,0
86,26,181,3,20,75,0
52,65,188,1,74,165,0
84,55,414,0,64,277,0
32,76,281,2,59,131,0
64,78,424,6,80,174,0
89,23,141,9,55,21,0
84,76,316,9,43,243,1
25,32,148,7,33,180,0
17,70,256,4,20,214,0
13,32,57,6,66,61,1
13,36,419,1,40,193,0
65,63,492,3,58,48,0
34,19,454,5,22,126,0
76,98,370,4,35,37,0
76,86,142,5,87,32,0
36,25,457,1,45,155,0
41,50,207,6,73,67,0
59,64,409,7,32,11,0
70,70,148,8,80,115,0
60,95,274,5,39,134,0
28,90,389,6,46,136,1
30,96,490,0,21,12,0
14,58,257,8,29,33,1
91,82,122,5,79,10,0
51,61,450,3,38,116,0
70,11,108,9,34,109,0
31,59,336,8,66,211,1
30,95,113,0,43,44,0
79,52,305,1,35,272,1
10,86,97,2,79,50,0
14,17,328,0,68,245,0
21,68,247,1,23,274,0
99,74,207,1,85,159,0
55,90,360,6,68,120,0
43,21,56,9,50,41,0
58,13,297,5,85,209,0
87,86,417,8,73,253,0
99,50,281,4,21,114,0
54,16,155,8,80,84,0
36,96,147,9,34,80,0
82,97,317,8,79,274,0
35,78,109,1,62,102,0
56,78,357,8,59,80,0
95,90,460,2,49,286,0
65,39,189,2,82,85,0
72,82,446,8,43,67,0
57,15,377,6,63,271,0
70,98,239,7,33,37,1
90,28,174,6,47,44,1
35,89,462,8,33,178,0
45,94,212,7,75,264,0
10,75,109,3,53,228,0
17,19,462,1,31,227,0
61,25,80,4,75,271,0
88,46,382,1,80,159,0
56,88,125,3,80,268,0
65,86,292,1,59,153,1
95,86,366,4,39,229,1
23,41,307,5,61,131,0
99,56,466,0,26,9,0
37,81,239,7,87,292,0
96,52,426,1,50,62,0
87,91,364,4,89,76,0
97,45,345,7,66,159,1
11,35,226,4,70,286,0
35,19,337,2,77,172,0
23,40,343,5,41,33,0
68,38,397,0,43,86,0
65,14,256,0,53,267,0
16,86,264,7,82,110,0
12,10,393,6,79,281,0
32,96,190,9,38,14,0
27,12,134,9,43,66,0
47,76,231,2,83,228,1
24,80,381,7,39,140,0
73,44,177,7,46,228,0
98,24,318,0,77,118,1
37,76,88,9,63,264,0
83,39,72,6,84,161,0
48,91,291,1,65,233,0
66,84,415,1,73,104,0
26,52,156,1,58,259,0
95,69,397,4,26,183,0
99,49,191,6,73,279,0
53,74,194,3,62,233,1
34,38,329,3,39,35,0
26,83,294,8,44,112,1
22,28,491,9,62,286,1
93,12,240,8,46,113,0
34,45,339,6,44,33,0
77,52,228,9,55,21,0
19,24,161,3,85,174,0
76,50,263,7,28,179,0
27,99,187,9,72,78,0
95,89,423,2,40,244,0
43,45,249,2,69,100,0
17,93,454,6,35,6,0
49,86,470,8,85,206,0
92,42,56,3,45,41,0
51,14,395,3,63,95,0
50,87,62,0,48,237,0
15,96,129,0,65,151,0
61,23,335,2,68,257,0
35,77,208,6,34,216,0
73,92,438,8,36,68,0
68,56,465,3,28,9,0
65,63,321,1,51,150,0
68,13,250,5,85,76,0
79,92,199,5,78,109,0
42,18,497,8,51,40,0
62,62,477,3,62,151,0
31,86,345,7,78,260,0
30,87,342,2,49,232,0
79,69,383,1,30,283,0
79,55,321,8,45,117,0
13,63,92,5,21,15,0
84,83,368,7,53,198,0
71,46,64,9,60,228,0
71,32,297,8,50,254,0
33,36,221,0,82,253,0
64,79,267,0,74,273,0
18,99,186,4,80,295,0
12,75,370,8,55,87,0
40,70,276,6,59,33,1
49,86,93,6,42,84,0
45,60,69,1,45,99,0
33,59,168,2,37,263,0
15,28,283,3,53,126,0
75,10,417,1,47,128,0
93,49,428,9,68,27,0
84,41,466,8,83,220,0
13,31,385,4,82,293,0
88,75,405,6,81,96,0
15,49,311,8,61,28,1
60,47,132,4,43,111,0
71,57,80,5,54,56,0
66,64,371,3,74,203,0
75,84,323,7,68,298,1
88,90,283,0,78,60,0
84,64,77,0,41,198,0
17,60,301,4,80,49,0
35,69,373,9,49,243,0
60,17,302,8,88,236,0
54,95,498,1,79,243,1
53,77,288,2,25,140,0
14,84,419,7,30,289,0
79,81,478,4,43,17,0
35,18,363,2,70,33,0
77,99,224,5,38,182,0
28,11,243,5,69,297,0
93,89,229,4,22,261,0
29,79,469,4,22,112,0
21,94,434,5,50,73,0
56,99,344,1,66,180,0
10,68,264,5,27,187,0
99,28,252,1,36,246,0
23,37,299,2,64,198,0
73,81,411,1,79,26,1
47,23,306,0,40,15,0
46,33,124,0,89,289,0
20,53,393,8,40,263,0
86,65,251,3,77,177,0
12,99,191,4,74,209,0
42,60,255,9,47,252,0
15,41,248,6,65,263,0
59,59,456,1,63,274,0
19,50,220,9,44,85,0
14,75,455,8,68,192,0
32,34,365,3,65,235,0
19,70,277,9,82,32,0
53,75,460,9,31,7,0
11,51,489,0,76,241,0
22,74,435,7,83,185,0
49,45,472,3,50,8,0
11,85,228,6,23,76,0
93,18,415,2,73,186,0
74,45,324,8,84,108,0
72,47,111,4,25,276,0
82,42,376,4,84,291,0
26,51,253,2,41,91,1
18,70,496,8,36,77,0
84,55,416,2,78,95,1
24,95,182,1,48,177,0
33,98,121,8,86,191,0
47,70,127,8,36,240,0
44,27,238,9,21,166,0
58,79,405,3,51,77,1
78,91,120,3,41,229,0
71,89,312,9,77,234,0
69,24,355,5,72,258,0
59,57,95,8,66,166,1
87,81,273,7,23,254,0
84,22,377,9,57,203,0
18,52,299,2,32,244,0
43,69,125,5,80,241,0
85,66,123,6,83,80,0
44,80,191,5,52,299,0
10,26,122,2,57,49,0
49,59,151,8,48,183,0
